optimal_ntrees,AAC,depth,col_rate,label
21352.6950542759,0.0726977382874756,6,0.8,bc_30d
9833.92554371346,0.0729690444771539,6,0.9,bc_30d
11063.7706370577,0.0732249475506062,6,1,bc_30d
11578.4630198269,0.0727712400659234,8,0.8,bc_30d
11476.5992852765,0.0723939736357021,8,0.9,bc_30d
15653.071829975,0.0731265484415236,8,1,bc_30d
19100.174737567,0.070501585703744,10,0.8,bc_30d
17706.3563397605,0.0708813841868552,10,0.9,bc_30d
9220.41103317881,0.0701146093906355,10,1,bc_30d
8031.00184979305,0.0864017034007794,6,0.8,bc_3090d
15654.4973273872,0.0852807068824149,6,0.9,bc_3090d
9017.87480741951,0.0858895472023932,6,1,bc_3090d
15509.1185269519,0.083998160747513,8,0.8,bc_3090d
5902.46336951724,0.0841622901706128,8,0.9,bc_3090d
19180.1149360557,0.0846615560476875,8,1,bc_3090d
19098.5366304828,0.0812422501841144,10,0.8,bc_3090d
16101.6930591179,0.0814088718132481,10,0.9,bc_3090d
15451.2336451504,0.0821338218308212,10,1,bc_3090d
8946.80093995688,0.0677046966266072,6,0.8,bc_90280d
10650.6715688828,0.0681170774434862,6,0.9,bc_90280d
15446.9970168491,0.067481940005317,6,1,bc_90280d
19098.5385490084,0.0664635491870004,8,0.8,bc_90280d
15451.2316847586,0.0662535215819607,8,0.9,bc_90280d
9549.76831524138,0.0659052218627836,8,1,bc_90280d
15463.5069191192,0.0624358884322466,10,0.8,bc_90280d
19087.1567774522,0.061894767265775,10,0.9,bc_90280d
15963.5181167024,0.0623540995555597,10,1,bc_90280d
13197.0732609655,0.0330447128391079,6,0.8,no2_30d
10411.4114571614,0.033164351200107,6,0.9,no2_30d
9648.3108631455,0.0338099604710701,6,1,no2_30d
15451.2316847586,0.0325448163442494,8,0.8,no2_30d
9549.76831524138,0.0326969913623377,8,0.9,no2_30d
19040.355742764,0.0328031237981161,8,1,no2_30d
9549.76831524138,0.033666412259071,10,0.8,no2_30d
18353.7975652542,0.0343035377863103,10,0.9,no2_30d
19594.0158450337,0.0335435771245065,10,1,no2_30d
15451.2316847586,0.0458714147716732,6,0.8,no2_3090d
16853.2742055473,0.0452263834544544,6,0.9,no2_3090d
5041.45162524199,0.0453057100121255,6,1,no2_3090d
3445.28871969539,0.0453461082260337,8,0.8,no2_3090d
16186.2335152925,0.0461484710068617,8,0.9,no2_3090d
9551.98119938619,0.0453871197082399,8,1,no2_3090d
15528.8690795172,0.0452579918754578,10,0.8,no2_3090d
17978.1386829148,0.0447433160731507,10,0.9,no2_3090d
5902.46336951724,0.0455225268814787,10,1,no2_3090d
3641.3043862059,0.0396227146251494,6,0.8,no2_90280d
9211.21843924128,0.0398864903357971,6,0.9,no2_90280d
10753.8511278447,0.0397033933664447,6,1,no2_90280d
5041.45146765517,0.0410511221255896,8,0.8,no2_90280d
5903.08514937782,0.0409099076613789,8,0.9,no2_90280d
19072.0928577628,0.0417498003577215,8,1,no2_90280d
10570.6309168652,0.0433191821125918,10,0.8,no2_90280d
9725.63251423744,0.0435377194926032,10,0.9,no2_90280d
7295.60997095443,0.0436200154243607,10,1,no2_90280d
