"","minimum","objective"
"bc_30ddepth3rate0.8",4330.31198948978,0.0732846079458584
"bc_30ddepth3rate0.9",15745.7953682549,0.0736663248441705
"bc_30ddepth3rate1",19406.2081184792,0.0721788188685945
"bc_30ddepth4rate0.8",15449.6802987188,0.0715800123341415
"bc_30ddepth4rate0.9",18163.8903659951,0.0720378302990144
"bc_30ddepth4rate1",7983.26873333697,0.0729301731880796
"bc_30ddepth5rate0.8",19287.1549445051,0.0722827113683914
"bc_30ddepth5rate0.9",6514.00674744637,0.0731270620492361
"bc_30ddepth5rate1",10102.4714258279,0.0730047717903983
"bc_30ddepth6rate0.8",15756.4225277475,0.0721579468085844
"bc_30ddepth6rate0.9",9516.58961817521,0.0726583864414913
"bc_30ddepth6rate1",11990.917196033,0.0719220785301206
"bc_30ddepth8rate0.8",6512.84505549491,0.0730926617163161
"bc_30ddepth8rate0.9",10043.5311141165,0.0735898378459491
"bc_30ddepth8rate1",9651.56890466148,0.0735786766887339
"bc_3090ddepth3rate0.8",19283.2306022761,0.0836829796733231
"bc_3090ddepth3rate0.9",17770.6346320048,0.0844539335719896
"bc_3090ddepth3rate1",8498.19672034223,0.0835915760106844
"bc_3090ddepth4rate0.8",14710.0820607207,0.083869781821944
"bc_3090ddepth4rate0.9",18665.5707148276,0.0834539873952986
"bc_3090ddepth4rate1",15756.4225277475,0.0830766892671505
"bc_3090ddepth5rate0.8",10043.9551310798,0.0833205026030658
"bc_3090ddepth5rate0.9",9968.41839728617,0.0826074073430577
"bc_3090ddepth5rate1",17118.2179611084,0.0827003603395223
"bc_3090ddepth6rate0.8",16900.9745570668,0.0834925376743876
"bc_3090ddepth6rate0.9",19287.1549445051,0.0818943995300228
"bc_3090ddepth6rate1",5679.35219477799,0.0821776466231166
"bc_3090ddepth8rate0.8",6704.65235955521,0.0813380081480662
"bc_3090ddepth8rate0.9",4492.01000508861,0.0822998127789687
"bc_3090ddepth8rate1",11329.3405265606,0.0809995231476938
"bc_90280ddepth3rate0.8",9210.08461153563,0.069072220049417
"bc_90280ddepth3rate0.9",9935.42636003973,0.0683918739040881
"bc_90280ddepth3rate1",10047.6537847313,0.0689671423922426
"bc_90280ddepth4rate0.8",9846.81677523841,0.0695913417099334
"bc_90280ddepth4rate0.9",17881.1573951371,0.0682054744923124
"bc_90280ddepth4rate1",10590.8099853561,0.06790058881464
"bc_90280ddepth5rate0.8",21469.2675832424,0.0672562535479533
"bc_90280ddepth5rate0.9",15752.0739893468,0.0666771859027735
"bc_90280ddepth5rate1",19281.8190014985,0.0667233923036279
"bc_90280ddepth6rate0.8",7394.48680808408,0.0651195892735009
"bc_90280ddepth6rate0.9",10776.5733112066,0.0645010465651722
"bc_90280ddepth6rate1",15756.4225277475,0.0652272741786732
"bc_90280ddepth8rate0.8",22930.6217339496,0.0633428124715393
"bc_90280ddepth8rate0.9",8948.56521915703,0.0630914440599623
"bc_90280ddepth8rate1",17105.0424760233,0.0630147651658108
