"","minimum","objective"
"depth3rate0.8",16354.0928644565,0.0276875044406483
"depth3rate0.9",10481.7913731332,0.0278162740783452
"depth3rate1",8694.95945384604,0.0281672104264581
"depth4rate0.8",4331.72114040364,0.0274242195982057
"depth4rate0.9",15756.4225277475,0.0271230526773722
"depth4rate1",15344.5315189043,0.026326584904026
"depth5rate0.8",15756.4225277475,0.0267000502753466
"depth5rate0.9",21469.2675832424,0.0260765375133277
"depth5rate1",9481.26375124822,0.0268307524797497
"depth6rate0.8",13297.6010445686,0.026023700156091
"depth6rate0.9",15719.8105621056,0.0265423288359992
"depth6rate1",19304.8886892367,0.0268677859808829
"depth8rate0.8",13781.7583916697,0.0257731749378379
"depth8rate0.9",11019.0076649843,0.0261186106388535
"depth8rate1",19287.2119419206,0.026581122779921
