"","minimum","objective"
"bc_30ddepth3rate0.8",9412.31863789754,0.0665069465494693
"bc_30ddepth3rate0.9",5921.56510689553,0.0660083975093957
"bc_30ddepth3rate1",9356.03797117388,0.0628671048273801
"bc_30ddepth4rate0.8",7852.08166308119,0.0671804567312312
"bc_30ddepth4rate0.9",6213.42521426604,0.0684222642424749
"bc_30ddepth4rate1",5065.44832084583,0.0652976122166273
"bc_30ddepth5rate0.8",6836.01933260228,0.0653145469778281
"bc_30ddepth5rate0.9",6322.29405517729,0.0641849064457911
"bc_30ddepth5rate1",8731.42645288404,0.0638196935770145
"bc_30ddepth6rate0.8",5578.43613281828,0.0631125155484125
"bc_30ddepth6rate0.9",5078.01932600118,0.0631067374470864
"bc_30ddepth6rate1",5099.68758623486,0.0603488838767353
"bc_30ddepth8rate0.8",7721.98067399882,0.0619763022025965
"bc_30ddepth8rate0.9",9115.69424240991,0.0621935476819373
"bc_30ddepth8rate1",4437.89648357712,0.0649290346801094
