"","minimum","objective","rate","depth","ntree"
"no2_30ddepth4rate0.8",998.498802853498,0.0261357425783382,0.8,4,998
"no2_30ddepth4rate0.9",998.255864624097,0.0261614844802208,0.9,4,998
"no2_30ddepth4rate1",998.176687729749,0.0261763144952691,1,4,998
"no2_30ddepth5rate0.8",999.272396313358,0.0254566514464117,0.8,5,999
"no2_30ddepth5rate0.9",994.102876044767,0.0254700882439245,0.9,5,994
"no2_30ddepth5rate1",997.126712027861,0.0254395077132849,1,5,997
"no2_30ddepth6rate0.8",996.141576070943,0.024947236916893,0.8,6,996
"no2_30ddepth6rate0.9",990.234644080733,0.0249955653558913,0.9,6,990
"no2_30ddepth6rate1",988.088011630323,0.0250518469499865,1,6,988
"no2_30ddepth7rate0.8",972.133991277052,0.0247098577221992,0.8,7,972
"no2_30ddepth7rate0.9",977.674839046526,0.0246958970630721,0.9,7,978
"no2_30ddepth7rate1",973.655688232632,0.0246852769061283,1,7,974
