"","minimum","objective","rate","depth","ntree"
"bc_30ddepth4rate0.8",995.569328324102,0.0418681534349759,0.8,4,996
"bc_30ddepth4rate0.9",978.845642568903,0.0418453648859956,0.9,4,979
"bc_30ddepth4rate1",995.343567503627,0.0418774359253951,1,4,995
"bc_30ddepth5rate0.8",998.399926454147,0.0413816751246554,0.8,5,998
"bc_30ddepth5rate0.9",995.059659068427,0.0414355327131995,0.9,5,995
"bc_30ddepth5rate1",995.343004255807,0.0414760022532269,1,5,995
"bc_30ddepth6rate0.8",955.417605947349,0.0410100328171267,0.8,6,955
"bc_30ddepth6rate0.9",973.406970355114,0.0410732555471256,0.9,6,973
"bc_30ddepth6rate1",984.801190199253,0.0409836959025473,1,6,985
"bc_30ddepth7rate0.8",811.145692451448,0.0408506659119191,0.8,7,811
"bc_30ddepth7rate0.9",811.145701258944,0.0409311903823778,0.9,7,811
"bc_30ddepth7rate1",880.436440243081,0.0409729782935176,1,7,880
