"","minimum","objective","rate","depth","ntree"
"no2_30280ddepth4rate0.8",998.483052545676,0.0303889038899574,0.8,4,998
"no2_30280ddepth4rate0.9",999.284503437869,0.0304046360071239,0.9,4,999
"no2_30280ddepth4rate1",989.550499614364,0.0305183292444885,1,4,990
"no2_30280ddepth5rate0.8",989.473206167765,0.029883484018628,0.8,5,989
"no2_30280ddepth5rate0.9",991.431001929953,0.0298016522339982,0.9,5,991
"no2_30280ddepth5rate1",998.149200179528,0.0299419447821725,1,5,998
"no2_30280ddepth6rate0.8",870.199917922432,0.0298124018773998,0.8,6,870
"no2_30280ddepth6rate0.9",900.595172481092,0.0297392899400031,0.9,6,901
"no2_30280ddepth6rate1",963.032861694545,0.0298504080734323,1,6,963
"no2_30280ddepth7rate0.8",938.351297706169,0.0298412395570931,0.8,7,938
"no2_30280ddepth7rate0.9",906.416232364035,0.0298419875353567,0.9,7,906
"no2_30280ddepth7rate1",929.519013563271,0.0298651551114228,1,7,930
