"","minimum","objective","rate","depth","ntree"
"bc_30ddepth3rate0.8",1175.17075551078,0.0547657646715084,0.8,3,1175
"bc_30ddepth3rate0.9",1090.40188414539,0.0547869621561101,0.9,3,1090
"bc_30ddepth3rate1",1072.39022947048,0.0556784669688206,1,3,1072
"bc_30ddepth4rate0.8",1176.58477812903,0.0527715651707863,0.8,4,1177
"bc_30ddepth4rate0.9",1096.3046330922,0.0535260487535226,0.9,4,1096
"bc_30ddepth4rate1",1099.58601873675,0.0536743185040174,1,4,1100
"bc_30ddepth5rate0.8",1125.30022059231,0.0506656345349598,0.8,5,1125
"bc_30ddepth5rate0.9",1137.0141520586,0.0509188308190817,0.9,5,1137
"bc_30ddepth5rate1",1152.63588640041,0.0510966624553977,1,5,1153
"bc_30ddepth6rate0.8",886.284919076297,0.0490952125494069,0.8,6,886
"bc_30ddepth6rate0.9",1063.60463097354,0.0495571780290056,0.9,6,1064
"bc_30ddepth6rate1",1064.65416284948,0.0506917623379072,1,6,1065
