"","minimum","objective","rate","depth","ntree"
"no2_30280ddepth3rate0.8",1086.41418902251,0.0178134879934726,0.8,3,1086
"no2_30280ddepth3rate0.9",1113.1650651902,0.0177948324541838,0.9,3,1113
"no2_30280ddepth3rate1",1120.2998939265,0.0179325258223377,1,3,1120
"no2_30280ddepth4rate0.8",1165.25106316592,0.0168254241316832,0.8,4,1165
"no2_30280ddepth4rate0.9",1138.2551153572,0.0167008193403267,0.9,4,1138
"no2_30280ddepth4rate1",916.888710231415,0.0174613127858205,1,4,917
"no2_30280ddepth5rate0.8",928.521912943143,0.0166793670052635,0.8,5,929
"no2_30280ddepth5rate0.9",1107.85252869201,0.0165835423719035,0.9,5,1108
"no2_30280ddepth5rate1",1059.28390228808,0.0165028264529119,1,5,1059
"no2_30280ddepth6rate0.8",976.268465411839,0.0167197764451037,0.8,6,976
"no2_30280ddepth6rate0.9",910.252403897763,0.016451292214592,0.9,6,910
"no2_30280ddepth6rate1",940.256509712186,0.016299832247738,1,6,940
