"","minimum","objective","rate","depth","ntree"
"bc_alldepth3rate0.8",994.136148276564,0.0114503313751552,0.8,3,994
"bc_alldepth3rate0.9",995.159820915398,0.0114628366735431,0.9,3,995
"bc_alldepth3rate1",987.443734059375,0.0115130297261564,1,3,987
"bc_alldepth4rate0.8",990.392878070749,0.0112799045861293,0.8,4,990
"bc_alldepth4rate0.9",918.542051980435,0.0113879243159587,0.9,4,919
"bc_alldepth4rate1",981.163742943022,0.0114488299869911,1,4,981
"bc_alldepth5rate0.8",932.332611777084,0.0111767975153015,0.8,5,932
"bc_alldepth5rate0.9",961.554792007426,0.0110974553724048,0.9,5,962
"bc_alldepth5rate1",985.410466664441,0.0110300429740725,1,5,985
"bc_alldepth6rate0.8",775.735504208964,0.0113427861049679,0.8,6,776
"bc_alldepth6rate0.9",775.735484301429,0.0114098593397733,0.9,6,776
"bc_alldepth6rate1",775.735518894173,0.0114285625900788,1,6,776
"bc_alldepth7rate0.8",637.132386831374,0.0112811923615947,0.8,7,637
"bc_alldepth7rate0.9",637.132386831374,0.0113312320244416,0.9,7,637
"bc_alldepth7rate1",730.873517675192,0.0114408004242263,1,7,731
