"","minimum","objective","rate","depth","ntree"
"no2_alldepth3rate0.8",998.176687729749,0.0185393202901564,0.8,3,998
"no2_alldepth3rate0.9",996.289618680083,0.0185236220126974,0.9,3,996
"no2_alldepth3rate1",998.392846593635,0.0184938650998871,1,3,998
"no2_alldepth4rate0.8",997.46017380924,0.0172081772280806,0.8,4,997
"no2_alldepth4rate0.9",993.142575060899,0.0172351418093227,0.9,4,993
"no2_alldepth4rate1",998.6869146023,0.017198776898997,1,4,999
"no2_alldepth5rate0.8",986.242823549249,0.0167635191184893,0.8,5,986
"no2_alldepth5rate0.9",995.040386003186,0.0166986976664386,0.9,5,995
"no2_alldepth5rate1",994.657499781901,0.0166528570053501,1,5,995
"no2_alldepth6rate0.8",775.040121365866,0.0167323199076656,0.8,6,775
"no2_alldepth6rate0.9",999.068609262418,0.0165064231653892,0.9,6,999
"no2_alldepth6rate1",994.14336614799,0.0164604544792942,1,6,994
"no2_alldepth7rate0.8",948.887220716641,0.0163602287906787,0.8,7,949
"no2_alldepth7rate0.9",892.005305079589,0.0164229556575738,0.9,7,892
"no2_alldepth7rate1",920.876985574512,0.0163777339978549,1,7,921
