"","minimum","objective","rate","depth","ntree"
"no2_alldepth3rate0.8",997.41089070288,0.0213528133364271,0.8,3,997
"no2_alldepth3rate0.9",994.335003381518,0.0213585795638171,0.9,3,994
"no2_alldepth3rate1",998.313002245028,0.0213402426010641,1,3,998
"no2_alldepth4rate0.8",993.062455442259,0.019902659861904,0.8,4,993
"no2_alldepth4rate0.9",998.234142202563,0.0198399818471142,0.9,4,998
"no2_alldepth4rate1",992.156541396434,0.0198692417066963,1,4,992
"no2_alldepth5rate0.8",995.607734542736,0.0194640638358966,0.8,5,996
"no2_alldepth5rate0.9",991.414348401246,0.0194865162461225,0.9,5,991
"no2_alldepth5rate1",985.447213127209,0.0194003605282714,1,5,985
"no2_alldepth6rate0.8",991.247723530127,0.0191646648463749,0.8,6,991
"no2_alldepth6rate0.9",966.11866285944,0.0192053515771964,0.9,6,966
"no2_alldepth6rate1",977.166996727928,0.0191673915982643,1,6,977
"no2_alldepth7rate0.8",923.056976377656,0.0190252135868151,0.8,7,923
"no2_alldepth7rate0.9",964.894319132684,0.0190086118633555,0.9,7,965
"no2_alldepth7rate1",947.058374971267,0.0189563613188291,1,7,947
