name.x,corr,weighted,description
bc_3090d,0.856446649525244,unweighted,Average of daily BC exposure levels over 31-90 days prior to the delivery date
bc_3090d,0.613309764989188,weighted,Average of daily BC exposure levels over 31-90 days prior to the delivery date
bc_30d,0.804954956755355,unweighted,Average of daily BC exposure levels over 0-30 days prior to the delivery date
bc_30d,0.558892658696478,weighted,Average of daily BC exposure levels over 0-30 days prior to the delivery date
cigddp,0.0182720399177963,unweighted,# of daily cigarettes smoking during pregnancy
cigddp,0.0200176341870886,weighted,# of daily cigarettes smoking during pregnancy
cigdpp,0.0107542907826035,unweighted,# of daily cigarettes smoking before pregnancy
cigdpp,0.0179562148736641,weighted,# of daily cigarettes smoking before pregnancy
clinega,0.0172574794691203,unweighted,Clinical gestational age
clinega,0.0143821538166967,weighted,Clinical gestational age
firstborn,0.0290343203176422,unweighted,First-born child
firstborn,0.0170351685773576,weighted,First-born child
log_mhincome,-0.20980785865596,unweighted,Log. median household income (census-tract level)
log_mhincome,-0.146366344018689,weighted,Log. median household income (census-tract level)
log_mhvalue,-0.0886903762008585,unweighted,Log. median value of house (census-tract level)
log_mhvalue,-0.103785600988748,weighted,Log. median value of house (census-tract level)
mage,-0.0797317525902522,unweighted,Mother's age
mage,-0.068203832119857,weighted,Mother's age
married,-0.0816591273188683,unweighted,Married
married,-0.0624525968668433,weighted,Married
mrace_1,-0.118658749749025,unweighted,Maternal race = white
mrace_1,-0.0655652744658536,weighted,Maternal race = white
mrace_2,0.0394018092446068,unweighted,Maternal race = black
mrace_2,0.022485975135857,weighted,Maternal race = black
mrace_3,0.0444457314651321,unweighted,Maternal race = Asian/Pacific Islander
mrace_3,0.0139824339833496,weighted,Maternal race = Asian/Pacific Islander
mrace_4,0.0957098097194108,unweighted,Maternal race = others
mrace_4,0.0611066727831821,weighted,Maternal race = others
no2_3090d,0.207818105433622,unweighted,Average of daily NO[2] exposure levels over 31-90 days prior to the delivery date
no2_3090d,0.110861208873458,weighted,Average of daily NO[2] exposure levels over 31-90 days prior to the delivery date
no2_30d,0.17380642633499,unweighted,Average of daily NO[2] exposure levels over 0-30 days prior to the delivery date
no2_30d,0.0775544761017692,weighted,Average of daily NO[2] exposure levels over 0-30 days prior to the delivery date
no2_90280d,0.174437499986919,unweighted,Average of daily NO[2] exposure levels over 91-280 days prior to the delivery date
no2_90280d,0.0895057669597609,weighted,Average of daily NO[2] exposure levels over 91-280 days prior to the delivery date
percentPoverty,0.204856798229366,unweighted,% Poverty (census-tract level)
percentPoverty,0.117769538215184,weighted,% Poverty (census-tract level)
pncgov,0.101104514026923,unweighted,Government support for prenatal care
pncgov,0.0720151233371101,weighted,Government support for prenatal care
rf_cervix,0.00178190419025622,unweighted,Maternal incompetent cervix
rf_cervix,-0.0034105850075901,weighted,Maternal incompetent cervix
rf_db_gest,-0.00229797461829289,unweighted,Gestational diabetes
rf_db_gest,0.00129298005760846,weighted,Gestational diabetes
rf_db_other,0.00569045078677101,unweighted,Maternal diabetes
rf_db_other,0.0024166788361445,weighted,Maternal diabetes
rf_hbp_chronic,0.00215629790012025,unweighted,Maternal chronic hypertension
rf_hbp_chronic,0.00199076147794308,weighted,Maternal chronic hypertension
rf_hbp_pregn,-0.00357878365898637,unweighted,Gestational hypertention
rf_hbp_pregn,-0.00584518184928653,weighted,Gestational hypertention
rf_prev_4kg,-0.00302292795052068,unweighted,Mother with previous infant over 4000 g
rf_prev_4kg,0.00285505812900357,weighted,Mother with previous infant over 4000 g
rf_prev_sga,0.00260141888922134,unweighted,Mother with previous small-for-gestational-age infant
rf_prev_sga,0.00233855108535608,weighted,Mother with previous small-for-gestational-age infant
sex,-0.00147222308315009,unweighted,New-born sex = Female
sex,-0.00207927090846524,weighted,New-born sex = Female
smoker_ddp,0.0186662491760809,unweighted,Smoking during pregnancy
smoker_ddp,0.0195462856069353,weighted,Smoking during pregnancy
smoker_dpp,0.0110561098426963,unweighted,Smoking before pregnancy
smoker_dpp,0.0181886679272687,weighted,Smoking before pregnancy
