"","name.x","corr","weighted","description"
"1","sex",-0.00136800852602632,"unweighted","New-born sex = Female"
"2","married",-0.0761228048303525,"unweighted","Married"
"3","mage",-0.0728939598102346,"unweighted","Mother's age"
"4","cigdpp",0.0113561233525478,"unweighted","# of daily cigarettes smoking before pregnancy"
"5","cigddp",0.0189586104083946,"unweighted","# of daily cigarettes smoking during pregnancy"
"6","clinega",0.0154962115187389,"unweighted","Clinical gestational age"
"7","pncgov",0.0918055294873124,"unweighted","Government support for prenatal care"
"8","rf_db_gest",-0.00333918150468858,"unweighted","Gestational diabetes"
"9","rf_db_other",0.00750158658874174,"unweighted","Maternal diabetes"
"10","rf_hbp_chronic",0.000988408798541017,"unweighted","Maternal chronic high blood pressure"
"11","rf_hbp_pregn",-0.00491986570276619,"unweighted","Maternal high blood pressure during pregnancy"
"12","rf_cervix",0.00271346777095215,"unweighted","Maternal incompetent cervix"
"13","rf_prev_4kg",-0.00352066157576213,"unweighted","Mother with previous infant over 4000 g"
"14","rf_prev_sga",0.00099196772053845,"unweighted","Mother with previous small-for-gestational-age infant"
"15","firstborn",0.0310107568962875,"unweighted","First-born child"
"16","log_mhincome",-0.195009701707599,"unweighted","Log. median household income (census-tract level)"
"17","log_mhvalue",-0.0857207013690437,"unweighted","Log. median value of house (census-tract level)"
"18","percentPoverty",0.182732287836676,"unweighted","% Poverty (census-tract level)"
"19","mrace_1",-0.111654834648379,"unweighted","Maternal race = white"
"20","mrace_2",0.0350767962251228,"unweighted","Maternal race = black"
"21","mrace_3",0.0380979879538959,"unweighted","Maternal race = Asian/Pacific Islander"
"22","mrace_4",0.0957323851948006,"unweighted","Maternal race = others"
"23","bc_3090d",0.851398967845112,"unweighted","Average of daily BC exposure over 31-90 days prior to the delivery date"
"24","bc_90280d",0.80905937663098,"unweighted","Average of daily BC exposure over 91-280 days prior to the delivery date"
"25","sex",-0.00294492655449021,"weighted","New-born sex = Female"
"26","married",-0.0505041217001018,"weighted","Married"
"27","mage",-0.0517389016235781,"weighted","Mother's age"
"28","cigdpp",0.00783977723235009,"weighted","# of daily cigarettes smoking before pregnancy"
"29","cigddp",0.00895785440720386,"weighted","# of daily cigarettes smoking during pregnancy"
"30","clinega",0.00936289768973681,"weighted","Clinical gestational age"
"31","pncgov",0.0548587007590695,"weighted","Government support for prenatal care"
"32","rf_db_gest",-0.00499648366916572,"weighted","Gestational diabetes"
"33","rf_db_other",0.00184604821616808,"weighted","Maternal diabetes"
"34","rf_hbp_chronic",0.00130103956508609,"weighted","Maternal chronic high blood pressure"
"35","rf_hbp_pregn",-0.00155911133297004,"weighted","Maternal high blood pressure during pregnancy"
"36","rf_cervix",-0.000769832235049612,"weighted","Maternal incompetent cervix"
"37","rf_prev_4kg",-0.00279523626354301,"weighted","Mother with previous infant over 4000 g"
"38","rf_prev_sga",-0.00149958408529441,"weighted","Mother with previous small-for-gestational-age infant"
"39","firstborn",0.0167057298592648,"weighted","First-born child"
"40","log_mhincome",-0.115654055361077,"weighted","Log. median household income (census-tract level)"
"41","log_mhvalue",-0.0590684504346771,"weighted","Log. median value of house (census-tract level)"
"42","percentPoverty",0.0919269850853384,"weighted","% Poverty (census-tract level)"
"43","mrace_1",-0.0614879877150965,"weighted","Maternal race = white"
"44","mrace_2",0.0181051444282214,"weighted","Maternal race = black"
"45","mrace_3",0.00766067428121988,"weighted","Maternal race = Asian/Pacific Islander"
"46","mrace_4",0.0642756686202224,"weighted","Maternal race = others"
"47","bc_3090d",0.464586864510935,"weighted","Average of daily BC exposure over 31-90 days prior to the delivery date"
"48","bc_90280d",0.432791761386503,"weighted","Average of daily BC exposure over 91-280 days prior to the delivery date"
