name.x,corr,weighted,description
bc_all,0.199174416166207,unweighted,Average of daily BC exposure levels over 0-280 days prior to the delivery date
bc_all,0.0984152682792643,weighted,Average of daily BC exposure levels over 0-280 days prior to the delivery date
cigddp,-0.035811210144562,unweighted,# of daily cigarettes smoking during pregnancy
cigddp,-0.015646306338847,weighted,# of daily cigarettes smoking during pregnancy
cigdpp,-0.0614401964277045,unweighted,# of daily cigarettes smoking before pregnancy
cigdpp,-0.0268972686712197,weighted,# of daily cigarettes smoking before pregnancy
clinega,0.0338877083674552,unweighted,Clinical gestational age
clinega,0.00725070082190486,weighted,Clinical gestational age
firstborn,0.0425848326142521,unweighted,First-born child
firstborn,0.0159204887682447,weighted,First-born child
log_mhincome,-0.17057268394064,unweighted,Log. median household income (census-tract level)
log_mhincome,-0.0762420464917185,weighted,Log. median household income (census-tract level)
log_mhvalue,0.0133340843179914,unweighted,Log. median value of house (census-tract level)
log_mhvalue,-0.00392951080017002,weighted,Log. median value of house (census-tract level)
mage,0.00753214791609667,unweighted,Mother's age
mage,-0.00622827191589588,weighted,Mother's age
married,-0.00122694832596333,unweighted,Married
married,-0.0131980679328377,weighted,Married
mrace_1,-0.194649594292656,unweighted,Maternal race = white
mrace_1,-0.0916509495581403,weighted,Maternal race = white
mrace_2,0.0971522468128398,unweighted,Maternal race = black
mrace_2,0.0524179958905695,weighted,Maternal race = black
mrace_3,0.0762113318270732,unweighted,Maternal race = Asian/Pacific Islander
mrace_3,0.0311699798154793,weighted,Maternal race = Asian/Pacific Islander
mrace_4,0.125149557123725,unweighted,Maternal race = others
mrace_4,0.0591832649387552,weighted,Maternal race = others
percentPoverty,0.186764696586981,unweighted,% Poverty (census-tract level)
percentPoverty,0.099233484096073,weighted,% Poverty (census-tract level)
pncgov,0.0145328301555539,unweighted,Government support for prenatal care
pncgov,0.0150651634146377,weighted,Government support for prenatal care
rf_cervix,0.0152303175055037,unweighted,Maternal incompetent cervix
rf_cervix,0.0095967731672703,weighted,Maternal incompetent cervix
rf_db_gest,-0.00947181658194553,unweighted,Gestational diabetes
rf_db_gest,0.00110853500211272,weighted,Gestational diabetes
rf_db_other,0.017930303664135,unweighted,Maternal diabetes
rf_db_other,0.0124366589200938,weighted,Maternal diabetes
rf_hbp_chronic,0.00299853161783317,unweighted,Maternal chronic hypertension
rf_hbp_chronic,0.00619283182098506,weighted,Maternal chronic hypertension
rf_hbp_pregn,-0.0105884449158276,unweighted,Gestational hypertention
rf_hbp_pregn,-0.000426931399249366,weighted,Gestational hypertention
rf_prev_4kg,-0.0190819428744115,unweighted,Mother with previous infant over 4000 g
rf_prev_4kg,-0.00702336148558014,weighted,Mother with previous infant over 4000 g
rf_prev_sga,-0.0183260138852162,unweighted,Mother with previous small-for-gestational-age infant
rf_prev_sga,-0.00883860949991656,weighted,Mother with previous small-for-gestational-age infant
sex,0.00224007126061872,unweighted,New-born sex = Female
sex,0.00231702137423403,weighted,New-born sex = Female
smoker_ddp,-0.0468716495051499,unweighted,Smoking during pregnancy
smoker_ddp,-0.0193604327494306,weighted,Smoking during pregnancy
smoker_dpp,-0.0674764478172212,unweighted,Smoking before pregnancy
smoker_dpp,-0.0272949103979842,weighted,Smoking before pregnancy
