name.x,corr,weighted,description
bc_30d,0.849435114142459,unweighted,Average of daily BC exposure levels over 0-30 days prior to the delivery date
bc_30d,0.629725123865218,weighted,Average of daily BC exposure levels over 0-30 days prior to the delivery date
bc_90280d,0.856446649525244,unweighted,Average of daily BC exposure levels over 91-280 days prior to the delivery date
bc_90280d,0.646386807322581,weighted,Average of daily BC exposure levels over 91-280 days prior to the delivery date
cigddp,0.0185799737803814,unweighted,# of daily cigarettes smoking during pregnancy
cigddp,0.0187827649242384,weighted,# of daily cigarettes smoking during pregnancy
cigdpp,0.0108669505799576,unweighted,# of daily cigarettes smoking before pregnancy
cigdpp,0.0154136888200413,weighted,# of daily cigarettes smoking before pregnancy
clinega,0.0159016977034826,unweighted,Clinical gestational age
clinega,0.0184306422142326,weighted,Clinical gestational age
firstborn,0.0304881983350574,unweighted,First-born child
firstborn,0.0230402345885458,weighted,First-born child
log_mhincome,-0.198992094883593,unweighted,Log. median household income (census-tract level)
log_mhincome,-0.157698767725604,weighted,Log. median household income (census-tract level)
log_mhvalue,-0.0877960650736091,unweighted,Log. median value of house (census-tract level)
log_mhvalue,-0.100407160205845,weighted,Log. median value of house (census-tract level)
mage,-0.0767317797430573,unweighted,Mother's age
mage,-0.0688764064641338,weighted,Mother's age
married,-0.0792398624693875,unweighted,Married
married,-0.0645425147681632,weighted,Married
mrace_1,-0.113342211586555,unweighted,Maternal race = white
mrace_1,-0.0749416070342502,weighted,Maternal race = white
mrace_2,0.0379967115060065,unweighted,Maternal race = black
mrace_2,0.02336071484185,weighted,Maternal race = black
mrace_3,0.0407530188885048,unweighted,Maternal race = Asian/Pacific Islander
mrace_3,0.017356113314951,weighted,Maternal race = Asian/Pacific Islander
mrace_4,0.0925493461704966,unweighted,Maternal race = others
mrace_4,0.0703963491346125,weighted,Maternal race = others
no2_3090d,0.118459692041811,unweighted,Average of daily NO[2] exposure levels over 31-90 days prior to the delivery date
no2_3090d,0.109788839813462,weighted,Average of daily NO[2] exposure levels over 31-90 days prior to the delivery date
no2_30d,0.183344349021817,unweighted,Average of daily NO[2] exposure levels over 0-30 days prior to the delivery date
no2_30d,0.14810467599748,weighted,Average of daily NO[2] exposure levels over 0-30 days prior to the delivery date
no2_90280d,0.141524159420997,unweighted,Average of daily NO[2] exposure levels over 91-280 days prior to the delivery date
no2_90280d,0.0947491098998392,weighted,Average of daily NO[2] exposure levels over 91-280 days prior to the delivery date
percentPoverty,0.191663980752357,unweighted,% Poverty (census-tract level)
percentPoverty,0.128016519556075,weighted,% Poverty (census-tract level)
pncgov,0.0960725943897673,unweighted,Government support for prenatal care
pncgov,0.0726551547759861,weighted,Government support for prenatal care
rf_cervix,0.00213322729127241,unweighted,Maternal incompetent cervix
rf_cervix,-0.00303495375836958,weighted,Maternal incompetent cervix
rf_db_other,0.00561135952957282,unweighted,Maternal diabetes
rf_db_other,0.000320473643462891,weighted,Maternal diabetes
rf_hbp_chronic,0.00182988025265774,unweighted,Maternal chronic hypertension
rf_hbp_chronic,0.000684391644568249,weighted,Maternal chronic hypertension
rf_prev_4kg,-0.00340877691203237,unweighted,Mother with previous infant over 4000 g
rf_prev_4kg,-0.000913868645447874,weighted,Mother with previous infant over 4000 g
rf_prev_sga,0.00228295180281449,unweighted,Mother with previous small-for-gestational-age infant
rf_prev_sga,0.00766588265348369,weighted,Mother with previous small-for-gestational-age infant
sex,-0.000862192748926,unweighted,New-born sex = Female
sex,-0.00109514953662196,weighted,New-born sex = Female
smoker_ddp,0.0195324723652539,unweighted,Smoking during pregnancy
smoker_ddp,0.0205238718565175,weighted,Smoking during pregnancy
smoker_dpp,0.0117815795637532,unweighted,Smoking before pregnancy
smoker_dpp,0.0160654553268059,weighted,Smoking before pregnancy
