"","name.x","corr","weighted","description"
"1","sex",-0.0013244901910603,"unweighted","New-born sex = Female"
"2","married",-0.0782292437828005,"unweighted","Married"
"3","mage",-0.0777300883986824,"unweighted","Mother's age"
"4","cigdpp",0.0102011452339308,"unweighted","# of daily cigarettes smoking before pregnancy"
"5","cigddp",0.0179207611877882,"unweighted","# of daily cigarettes smoking during pregnancy"
"6","clinega",0.0172205182167498,"unweighted","Clinical gestational age"
"7","pncgov",0.0968980309571361,"unweighted","Government support for prenatal care"
"8","rf_db_gest",-0.004308797135646,"unweighted","Gestational diabetes"
"9","rf_db_other",0.00579808421511444,"unweighted","Maternal diabetes"
"10","rf_hbp_chronic",0.00172045229159549,"unweighted","Maternal chronic high blood pressure"
"11","rf_hbp_pregn",-0.00576272843216707,"unweighted","Maternal high blood pressure during pregnancy"
"12","rf_cervix",0.00212470730433407,"unweighted","Maternal incompetent cervix"
"13","rf_prev_4kg",-0.00296578572479234,"unweighted","Mother with previous infant over 4000 g"
"14","rf_prev_sga",0.00132232656459356,"unweighted","Mother with previous small-for-gestational-age infant"
"15","firstborn",0.0294664110618431,"unweighted","First-born child"
"16","log_mhincome",-0.208504030090432,"unweighted","Log. median household income (census-tract level)"
"17","log_mhvalue",-0.0878565224519589,"unweighted","Log. median value of house (census-tract level)"
"18","percentPoverty",0.198717549371803,"unweighted","% Poverty (census-tract level)"
"19","mrace_1",-0.116908561143968,"unweighted","Maternal race = white"
"20","mrace_2",0.0365555586057357,"unweighted","Maternal race = black"
"21","mrace_3",0.042807336028343,"unweighted","Maternal race = Asian/Pacific Islander"
"22","mrace_4",0.0978615023047646,"unweighted","Maternal race = others"
"23","bc_30d",0.80905937663098,"unweighted","Average of daily BC exposure over 0-30 days prior to the delivery date"
"24","bc_3090d",0.859018573691605,"unweighted","Average of daily BC exposure over 31-90 days prior to the delivery date"
"25","sex",-0.00321303144331414,"weighted","New-born sex = Female"
"26","married",-0.0499543346801762,"weighted","Married"
"27","mage",-0.0570810703085177,"weighted","Mother's age"
"28","cigdpp",0.0119857551867162,"weighted","# of daily cigarettes smoking before pregnancy"
"29","cigddp",0.0112324861645218,"weighted","# of daily cigarettes smoking during pregnancy"
"30","clinega",0.0105196805833559,"weighted","Clinical gestational age"
"31","pncgov",0.0554367733765838,"weighted","Government support for prenatal care"
"32","rf_db_gest",0.000420513305632964,"weighted","Gestational diabetes"
"33","rf_db_other",-0.00204281516069566,"weighted","Maternal diabetes"
"34","rf_hbp_chronic",0.000880963241983252,"weighted","Maternal chronic high blood pressure"
"35","rf_hbp_pregn",-0.006176736851527,"weighted","Maternal high blood pressure during pregnancy"
"36","rf_cervix",-0.00308950945761465,"weighted","Maternal incompetent cervix"
"37","rf_prev_4kg",0.00487487554541267,"weighted","Mother with previous infant over 4000 g"
"38","rf_prev_sga",-0.000197211324003048,"weighted","Mother with previous small-for-gestational-age infant"
"39","firstborn",0.0105194159684888,"weighted","First-born child"
"40","log_mhincome",-0.112918306305515,"weighted","Log. median household income (census-tract level)"
"41","log_mhvalue",-0.0999421539608679,"weighted","Log. median value of house (census-tract level)"
"42","percentPoverty",0.0829751575004531,"weighted","% Poverty (census-tract level)"
"43","mrace_1",-0.0410113400024294,"weighted","Maternal race = white"
"44","mrace_2",0.00481552416697463,"weighted","Maternal race = black"
"45","mrace_3",0.00496764054839495,"weighted","Maternal race = Asian/Pacific Islander"
"46","mrace_4",0.0499633971173592,"weighted","Maternal race = others"
"47","bc_30d",0.466059121703311,"weighted","Average of daily BC exposure over 0-30 days prior to the delivery date"
"48","bc_3090d",0.50362483016978,"weighted","Average of daily BC exposure over 31-90 days prior to the delivery date"
