"","name.x","corr","weighted","description"
"1","sex",-0.000778906370011212,"unweighted","New-born sex = Female"
"2","married",-0.0759781021111954,"unweighted","Married"
"3","mage",-0.0748772489708473,"unweighted","Mother's age"
"4","cigdpp",0.0100614152617463,"unweighted","# of daily cigarettes smoking before pregnancy"
"5","cigddp",0.0181384278278483,"unweighted","# of daily cigarettes smoking during pregnancy"
"6","clinega",0.0157111056629612,"unweighted","Clinical gestational age"
"7","pncgov",0.0922459175452805,"unweighted","Government support for prenatal care"
"8","rf_db_other",0.00587596723601372,"unweighted","Maternal diabetes"
"9","rf_hbp_chronic",0.00137656972572955,"unweighted","Maternal chronic high blood pressure"
"10","rf_cervix",0.00251336676870406,"unweighted","Maternal incompetent cervix"
"11","rf_prev_4kg",-0.00337757150223942,"unweighted","Mother with previous infant over 4000 g"
"12","rf_prev_sga",0.00101679395209201,"unweighted","Mother with previous small-for-gestational-age infant"
"13","firstborn",0.030791247634684,"unweighted","First-born child"
"14","log_mhincome",-0.19858227346823,"unweighted","Log. median household income (census-tract level)"
"15","log_mhvalue",-0.0872141893938693,"unweighted","Log. median value of house (census-tract level)"
"16","percentPoverty",0.186220734430794,"unweighted","% Poverty (census-tract level)"
"17","mrace_1",-0.112065953653982,"unweighted","Maternal race = white"
"18","mrace_2",0.0353791187950432,"unweighted","Maternal race = black"
"19","mrace_3",0.0391582378489292,"unweighted","Maternal race = Asian/Pacific Islander"
"20","mrace_4",0.0951284528033054,"unweighted","Maternal race = others"
"21","bc_30d",0.851398967845112,"unweighted","Average of daily BC exposure over 0-30 days prior to the delivery date"
"22","bc_90280d",0.859018573691605,"unweighted","Average of daily BC exposure over 91-280 days prior to the delivery date"
"23","sex",0.00447766611638682,"weighted","New-born sex = Female"
"24","married",-0.0660564436857657,"weighted","Married"
"25","mage",-0.0731442238160068,"weighted","Mother's age"
"26","cigdpp",0.0175699771185122,"weighted","# of daily cigarettes smoking before pregnancy"
"27","cigddp",0.0226675928894642,"weighted","# of daily cigarettes smoking during pregnancy"
"28","clinega",0.0108597450573277,"weighted","Clinical gestational age"
"29","pncgov",0.0700149303198365,"weighted","Government support for prenatal care"
"30","rf_db_other",-0.002781388654292,"weighted","Maternal diabetes"
"31","rf_hbp_chronic",0.000792750710762461,"weighted","Maternal chronic high blood pressure"
"32","rf_cervix",-0.00362240306522904,"weighted","Maternal incompetent cervix"
"33","rf_prev_4kg",-0.00235865087899758,"weighted","Mother with previous infant over 4000 g"
"34","rf_prev_sga",0.00611832647131506,"weighted","Mother with previous small-for-gestational-age infant"
"35","firstborn",0.0185487207925109,"weighted","First-born child"
"36","log_mhincome",-0.147200160662677,"weighted","Log. median household income (census-tract level)"
"37","log_mhvalue",-0.0974028258301464,"weighted","Log. median value of house (census-tract level)"
"38","percentPoverty",0.126729756467159,"weighted","% Poverty (census-tract level)"
"39","mrace_1",-0.0691241880816293,"weighted","Maternal race = white"
"40","mrace_2",0.0195679682104497,"weighted","Maternal race = black"
"41","mrace_3",0.0167513413491609,"weighted","Maternal race = Asian/Pacific Islander"
"42","mrace_4",0.0661687578309293,"weighted","Maternal race = others"
"43","bc_30d",0.496606138747386,"weighted","Average of daily BC exposure over 0-30 days prior to the delivery date"
"44","bc_90280d",0.543921701832891,"weighted","Average of daily BC exposure over 91-280 days prior to the delivery date"
